Prey/Predator,Baleen whales,Toothed whales,Seals,Seabirds,Juvenile sharks,Spurdog,Large piscivorous sharks,Small sharks,Juvenile rays,Starry ray + others,Thornback & Spotted ray,Skate + cuckoo ray,"Juvenile Cod(0-2, 0-40cm)",Cod (adult),"Juvenile Whiting (0-1, 0-20cm)",Whiting (adult),"Juvenile Haddock (0-1, 0-20cm)",Haddock (adult),"Juvenile Saithe (0-3, 0-40cm)",Saithe (adult),Hake,Blue whiting,Norway pout,Other gadoids (large),Other gadoids (small),Monkfish,Gurnards,"Herring (juvenile 0, 1)",Herring (adult),Sprat,Mackerel,Horse mackerel,Sandeels,Plaice,Dab,Long-rough dab,Flounder,Sole,Lemon sole,Witch,Turbot and brill,Megrim,Halibut,Dragonets,Catfish (Wolf-fish),Large demersal fish,Small demersal fish,Miscellaneous filterfeeding pelagic fish,Squid & cuttlefish,Fish larvae,Carnivorous zooplankton,Herbivorous & Omnivorous zooplankton (copepods),Gelatinous zooplankton,Large crabs,Nephrops,Epifaunal macrobenthos (mobile grazers),Infaunal macrobenthos,Shrimp,Small mobile epifauna (swarming crustaceans),Small infauna (polychaetes),Sessile epifauna,Meiofauna,"Benthic microflora (incl. Bacteria, protozoa))","Planktonic microflora (incl. Bacteria, protozoa)",Phytoplankton,Detritus - DOM -water column,Detritus - POM - sediment,Discards
Sole,0,0,0.03480007,0,0,0,0,0.002018367,0,0.00120012,0.0043,0.0238,0.003600648,0.01719876,0.00180018,0.002954839,0.000300031,0.000200014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00250025,0,0,0,0,0,0,0,0,0,0,0,0,0.00049995,0,0.005210943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lemon sole,0,0,0.02280005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008802641,0,0,0,0,0,0,0,0,0,0,0.0440044,0,0,0,0,0,0,0,0,0,0,0,0.005210943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Witch,0,0,0.02370005,0,0,0.00649935,0,0,0,0.00010001,0,0.0008,0.000100018,0.001099921,0,0,0,9.80068E-05,0,0,0,0,0,0,0,0.00290087,0.000100007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005210943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turbot and brill,0,0,0.01010002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Megrim,0,0,0.01040002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00290087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halibut,0,0,0,0,0,0,0,0,0,0.00020002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dragonets,0,9.1996E-05,0.01010002,0,0.000991933,0.02559744,0.05371074,0.01655061,0,0.00530053,0,0.0687,0.0050009,0.01399899,0,0.00042212,9.90101E-05,0.000500035,0,0,0,0,0,0,0.0049995,0.00290087,0.02140148,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06270627,0.03069693,0,0,0,0.00049995,0.00529947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catfish (Wolf-fish),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Large demersal fish,0,0,0,0,0,0,0,0,0,0.00020002,0,0.0015,0,9.39932E-05,0,0.00042212,0,9.80068E-05,0,9.89903E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00149985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Small demersal fish,0,0.000199991,0.09820019,0,0.009919326,0.01009899,0.01070214,0.002522959,0.0009,0.0090009,0.0659,0.0107,0.04290772,0.01449896,0.02740274,0.01245254,0.002100214,0.001200083,0,9.89903E-05,0.01589922,0,0,0.00510051,0.01379862,0.03240972,0.01720119,0,0,0,0.000199994,0.006149324,0,0,0,0.03735864,0.01010101,0.0128,0.00680068,0.0082,0.09950995,0.00619938,0,0,0,0.06579342,0.03649635,0,0.005210943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
