GroupName,Type,Biomass,PB,QB,EE,ProdCons,BioAcc,Unassim,DetInput,Discards,Offal,Pelagic Detritus,Benthic Detritus,Outside Detritus,Pollock Trawl,Cod Trawl,Cod Pots,Cod Longline,Atka Trawl,RSflats_TWL,YFSflats_TWL,ATFflats_TWL,FHSflats_TWL,Oth_Flatfish_TWL,Turbot Trawl,Turbot Longline,Sablefish Longline,Rockfish Trawl,Halibut Longline,Crab Pots,Salmon Fishery,Herring Fishery,Indigenous,Subsistence,disc_Pollock Trawl,disc_Cod Trawl,disc_Cod Pots,disc_Cod Longline,disc_Atka Trawl,disc_RSflats_TWL,disc_YFSflats_TWL,disc_ATFflats_TWL,disc_FHSflats_TWL,disc_Oth_Flatfish_TWL,disc_Turbot Trawl,disc_Turbot Longline,disc_Sablefish Longline,disc_Rockfish Trawl,disc_Halibut Longline,disc_Crab Pots,disc_Salmon Fishery,disc_Herring Fishery,disc_Indigenous,disc_Subsistence
Gr. Turbot_Juv,0,0.007470302,1.700589,7.884608,,,0,0.2,,0,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gr. Turbot,0,0.3493044,0.18,1.16,,,0,0.2,,0,0.02,0.392,0.588,0,5.05E-05,1.47E-05,2.09E-06,0.00014646,1.06E-05,5.93E-06,7.83E-05,2.67E-06,1.51E-05,0,0.001822177,0.0019026,3.03E-05,5.58E-05,0,0,0,0,0,0,0.000287738,8.39E-05,6.56E-06,0.000474198,4.13E-05,3.40E-05,3.05E-05,2.67E-06,0.000265313,0,0.000767447,0.00083099,0.001951609,0.000040035,0,0,0,0,0,0
P. Halibut_Juv,0,0.001864732,2.399714,9.303193,,,0,0.2,,0,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P. Halibut,0,0.2218969,0.19,1.1,,,0,0.2,,0,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008051394,0,0,0,0,0,0.002372991,0.003927643,6.53E-06,0.000808411,1.96E-05,0.002011433,0.001173991,0.000089489,9.30E-05,0,0.000460161,0.0000013,5.39E-05,0.000208105,0.00019952,0,0,0,0,0
YF. Sole_Juv,0,0.4246623,0.2444338,1.530717,,,0,0.2,,0,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YF. Sole,0,4.833312,0.1737442,0.93,,,0,0.2,,0,0.02,0.392,0.588,0,0.000429213,0.001068352,1.27E-08,6.06E-07,0.000000052,0.002543468,0.1295072,1.18E-06,0.003829386,0,1.46E-08,0.000000016,0,1.46E-05,0,0,0,0,0,0,0.001360272,0.001344582,0.000025717,0.000133994,9.35E-05,0.005804744,0.08678605,4.92E-06,0.003157465,0,3.58E-08,0.000000018,5.94E-08,1.35E-05,0,0,0,0,0,0
FH. Sole_Juv,0,0.1473267,0.3943897,4.144834,,,0,0.2,,0,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FH. Sole,0,1.193846,0.26,1.97,,,0,0.2,,0,0.02,0.392,0.588,0,0.001172079,0.000328453,6.37E-08,1.42E-05,0.000009813,0.000693889,0.002178851,0.000013319,0.001943789,0,2.78E-06,3.82E-07,2.89E-08,7.74E-05,0,0,0,0,0,0,0.004585064,0.002380454,0.000000497,0.000197713,4.41E-05,0.003050472,0.009664105,4.34E-06,0.002101548,0,9.67E-06,2.90E-05,0.000000614,7.27E-05,0,0,0,0,0,0
N. Rock sole_Juv,0,0.1573056,0.2916997,3.482487,,,0,0.2,,0,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N. Rock sole,0,3.225706,0.2316202,1.14,,,0,0.2,,0,0.02,0.392,0.588,0,0.002617061,0.001643691,5.22E-08,4.49E-06,5.18E-06,0.02790906,0.005973258,7.31E-06,0.001614582,0,3.06E-08,0,0,7.50E-06,0,0,0,0,0,0,0.008746938,0.007974941,5.35E-07,0.000029926,6.29E-05,0.04127474,0.01313069,5.19E-06,0.001510611,0,7.66E-07,1.91E-06,0.000000035,1.85E-05,0,0,0,0,0,0
