stockid,tsn,scientificname,commonname,areaid,stocklong,region,inmyersdb,myersstockid
FLSOLEGA,172875,Hippoglossoides elassodon,Flathead sole,USA-NMFS-GA,Flathead sole Gulf of Alaska,US Alaska,0,NA
FMEG8c9a,172834,Lepidorhombus boscii,Fourspotted megrim,multinational-ICES-VIIIc-IXa,Fourspotted megrim ICES VIIIc-IXa,European Union,1,MEG8c9a
FTOOTHSHARATL,160409,Carcharhinus isodon,Finetooth shark,USA-NMFS-ATL,Finetooth shark Atlantic,Atlantic Ocean,0,NA
GAGGM,167759,Mycteroperca microlepis,Gag,USA-NMFS-GM,Gag Gulf of Mexico,US Southeast/Gulf,0,NA
GAGSATLC,167759,Mycteroperca microlepis,Gag,USA-NMFS-SATLC,Gag Southern Atlantic coast,US Southeast/Gulf,0,NA
GEMFISHNZ,550883,Rexea solandri,common gemfish,New Zealand-MFish-NZ,common gemfish New Zealand,New Zealand,0,
GEMFISHSE,550883,Rexea solandri,common gemfish,Australia-AFMA-SE,common gemfish Southeast Australia,Australia,0,
GHAL01ABCDEF,172930,Reinhardtius hippoglossoides,Greenland halibut,multinational-NAFO-01ABCDEF,Greenland halibut NAFO 01ABCDEF,European Union,0,NA
GHAL23KLMNO,172930,Reinhardtius hippoglossoides,Greenland halibut,multinational-NAFO-23KLMNO,Greenland halibut NAFO 23KLMNO,Canada East Coast,1,GHALNAFO23
GHAL4RST,172930,Reinhardtius hippoglossoides,Greenland halibut,Canada-DFO-4RST,Greenland halibut NAFO 4RST,Canada East Coast,0,NA
GHALBSAI,172930,Reinhardtius hippoglossoides,Greenland halibut,USA-NMFS-BSAI,Greenland turbot Bering Sea and Aleutian Islands,US Alaska,1,GHALEBS
GHALNEAR,172930,Reinhardtius hippoglossoides,Greenland halibut,multinational-ICES-I-II,Greenland halibut Northeast Arctic,Europe non EU,1,GHALNEAR
GKINGCRABAIES,660179,Lithodes aequispinus,Golden king crab,USA-NMFS-AIES,Golden king crab Aleutian Islands Eastern segment,US Alaska,0,
GKINGCRABAIWS,660179,Lithodes aequispinus,Golden king crab,USA-NMFS-AIWS,Golden king crab Aleutian Islands Western segment,US Alaska,0,
GOLDREDNEAR,166781,Sebastes norvegicus,Golden Redfish,multinational-ICES-I-II,Golden Redfish Northeast Arctic,Europe non EU,0,NA
GOPHERSPCOAST,166767,Sebastes carnatus,Gopher rockfish,USA-NMFS-SPCOAST,Gopher rockfish Southern Pacific Coast,US West Coast,0,
GRAMBERGM,168689,Seriola dumerili,Greater amberjack,USA-NMFS-GM,Greater amberjack Gulf of Mexico,US Southeast/Gulf,0,NA
GRAMBERSATLC,168689,Seriola dumerili,Greater amberjack,USA-NMFS-SATLC,Greater amberjack Southern Atlantic coast,US Southeast/Gulf,0,NA
GRNSTROCKPCOAST,166717,Sebastes elongatus,Greenstriped rockfish,USA-NMFS-PCOAST,Greenstriped rockfish Pacific Coast,US West Coast,0,
GRSPROCKNCAL,166748,Sebastes chlorostictus,Greenspotted rockfish,USA-NMFS-PCOAST,Greenspotted rockfish Pacific Coast North,US West Coast,0,
GRSPROCKSCAL,166748,Sebastes chlorostictus,Greenspotted rockfish,USA-NMFS-PCOAST,Greenspotted rockfish Pacific Coast South,US West Coast,0,
GSTRGZRSTA7,171064,Kathetostoma giganteum,Giant stargazer,New Zealand-MFish-STA7,Giant stargazer NZ Area STA7,New Zealand,0,
GTPRAWNNAUST,95625,Penaeus semisulcatus,Grooved Tiger Prawn,Australia-AFMA-NAUST,Northern Australia grooved Tiger Prawn,Australia,0,
GTRIGGM,173138,Balistes capriscus,Gray triggerfish,USA-NMFS-GM,Gray triggerfish Gulf of Mexico,US Southeast/Gulf,0,NA
